EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 8:51:42 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 8:56:40 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 8:59:51 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 9:05:21 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 9:09:58 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 9:10:39 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 9:19:36 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 10:36:19 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/19/2021 10:43:50 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 7:03:51 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 7:09:01 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 7:11:34 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 7:17:24 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 10:50:14 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 10:57:37 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 11:03:15 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 11:07:01 PM
EVENT: Login  ||  USER: test  ||  TIME(UTC): 1/20/2021 11:09:38 PM
